Dataset,type,mtSS.SEQL.LR,mtSFA.SEQL.LR,mtSAX.SEQL.LR,mtSS.SEQL,mtSAX.SEQL,mtSFA.SEQL,SAX.SEQL,SFA.SEQL,Encoder,MCNN,t.LeNet,MCDCNN,Time.CNN,TWIESN,SAXVSM,FS,HIVE.COTE,MLP,FCN,ResNet,WEASEL,DTW_CV,DTW,BOSS,LearningShapelet,TSBF,ST,EE_PROP,Flat.COTE
50words,IMAGE,0.237,0.244,0.288,0.393,0.44,0.367,0.629,0.576,0.277,0.78,0.875,0.411,0.379,0.504,0.607,0.519,0.191,0.288,0.321,0.273,0.189,0.235,0.31,0.295,0.232,0.242,0.295,0.18,0.202
Adiac,IMAGE,0.228,0.199,0.263,0.279,0.33,0.251,0.545,0.427,0.516,0.978,0.98,0.39,0.621,0.584,0.547,0.407,0.189,0.248,0.143,0.174,0.169,0.389,0.396,0.235,0.437,0.23,0.217,0.335,0.21
ArrowHead,IMAGE,0.177,0.149,0.24,0.183,0.24,0.154,0.36,0.177,0.196,0.661,0.697,0.315,0.277,0.341,0.211,0.406,0.137,0.177,0.12,0.183,0.143,0.2,0.337,0.166,0.154,0.246,0.263,0.189,0.189
Beef,SPECTRO,0.3,0.267,0.367,0.333,0.333,0.3,0.167,0.333,0.357,0.8,0.8,0.437,0.237,0.463,0.567,0.433,0.067,0.167,0.25,0.233,0.233,0.333,0.367,0.2,0.24,0.433,0.1,0.367,0.133
BeetleFly,IMAGE,0.15,0.1,0.15,0.2,0.15,0.1,0.15,0.05,0.255,0.5,0.5,0.42,0.11,0.27,0.1,0.3,0.05,0.15,0.05,0.2,0.05,0.3,0.3,0.1,0.2,0.2,0.1,0.25,0.2
BirdChicken,IMAGE,0.05,0.1,0.1,0.1,0.05,0.1,0,0.1,0.335,0.5,0.5,0.42,0.395,0.26,0,0.25,0.15,0.2,0.05,0.1,0.2,0.3,0.25,0.05,0.2,0.1,0.2,0.2,0.1
Car,SENSOR,0.167,0.167,0.15,0.183,0.167,0.167,0.167,0.167,0.242,0.76,0.683,0.27,0.218,0.217,0.133,0.25,0.133,0.167,0.083,0.067,0.133,0.233,0.267,0.167,0.233,0.217,0.083,0.167,0.1
CBF,SIMULATED,0,0.001,0.001,0.001,0.004,0.001,0.102,0.099,0.053,0.668,0.668,0.18,0.043,0.11,0.043,0.06,0.001,0.14,0,0.006,0.017,0.006,0.003,0.002,0.006,0.012,0.026,0.002,0.004
ChlorineConcentration,SIMULATED,0.287,0.314,0.283,0.324,0.311,0.34,0.346,0.357,0.427,0.467,0.467,0.357,0.4,0.447,0.346,0.454,0.288,0.128,0.157,0.172,0.247,0.35,0.352,0.339,0.349,0.308,0.3,0.344,0.273
CinC_ECG_torso,ECG,0.134,0.172,0.151,0.2,0.259,0.235,0.322,0.3,0.089,0.619,0.75,0.264,0.255,0.7,0.23,0.141,0.004,0.158,0.187,0.229,0.007,0.07,0.349,0.113,0.167,0.288,0.046,0.058,0.005
Coffee,SPECTRO,0,0,0,0,0,0,0,0,0.021,0.486,0.464,0.018,0.004,0.029,0.071,0.071,0,0,0,0,0,0,0,0,0,0,0.036,0,0
Computers,DEVICE,0.296,0.316,0.276,0.292,0.272,0.344,0.324,0.336,0.426,0.478,0.5,0.441,0.452,0.371,0.38,0.5,0.24,0.46,0.152,0.176,0.344,0.38,0.3,0.244,0.416,0.244,0.264,0.292,0.26
Cricket_X,MOTION,0.185,0.238,0.221,0.215,0.241,0.269,0.485,0.436,0.306,0.811,0.926,0.505,0.448,0.378,0.262,0.515,0.177,0.431,0.185,0.179,0.236,0.228,0.246,0.264,0.209,0.295,0.228,0.187,0.192
