Dataset,SAX-SEQL,mtSAX-SEQL,mtSAX-SEQL+LR,SFA-SEQL,mtSFA-SEQL,mtSFA-SEQL+LR,mtSS-SEQL,mtSS-SEQL+LR
Coffee,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Earthquakes,0.789,0.817,0.820,0.773,0.823,0.817,0.823,0.823
ECG200,0.740,0.830,0.850,0.770,0.870,0.870,0.840,0.870
ECGFiveDays,0.976,1.000,1.000,0.972,1.000,1.000,1.000,1.000
FordA,0.851,0.926,0.931,0.831,0.897,0.939,0.931,0.941
FordB,0.782,0.897,0.905,0.823,0.875,0.912,0.921,0.930
Gun_Point,0.987,0.980,0.987,0.993,1.000,1.000,1.000,1.000
Lighting2,0.705,0.672,0.705,0.689,0.754,0.754,0.721,0.738
MoteStrain,0.840,0.903,0.908,0.896,0.923,0.923,0.936,0.937
Passgraph,0.740,0.733,0.748,0.634,0.687,0.740,0.718,0.725
SonyAIBORobotSurface,0.631,0.800,0.887,0.775,0.705,0.787,0.775,0.864
SonyAIBORobotSurfaceII,0.888,0.940,0.945,0.859,0.841,0.874,0.929,0.942
TwoLeadECG,0.938,0.993,0.996,0.981,0.982,0.991,0.995,0.998
wafer,0.993,0.989,0.997,0.990,0.995,0.998,0.993,0.998
yoga,0.769,0.875,0.900,0.794,0.878,0.896,0.879,0.906
ArrowHead,0.640,0.760,0.760,0.823,0.846,0.851,0.817,0.823
Beef,0.833,0.667,0.633,0.667,0.700,0.733,0.667,0.700
CBF,0.898,0.996,0.999,0.901,0.999,0.999,0.999,1.000
ChlorineConcentration,0.654,0.689,0.717,0.643,0.660,0.686,0.676,0.713
CinC_ECG_torso,0.678,0.741,0.849,0.700,0.765,0.828,0.800,0.866
DiatomSizeReduction,0.892,0.873,0.941,0.827,0.889,0.990,0.882,0.948
ElectricDevices,0.673,0.681,0.702,0.666,0.666,0.684,0.692,0.727
FaceAll,0.688,0.773,0.780,0.689,0.799,0.800,0.792,0.801
FaceFour,0.875,1.000,1.000,0.841,0.977,1.000,0.989,1.000
FacesUCR,0.681,0.874,0.929,0.719,0.888,0.940,0.898,0.956
FISH,0.954,0.960,0.960,0.954,0.931,0.966,0.954,0.966
Haptics,0.380,0.481,0.510,0.412,0.481,0.523,0.513,0.532
InlineSkate,0.287,0.416,0.447,0.351,0.420,0.445,0.418,0.455
Lighting7,0.589,0.685,0.795,0.658,0.712,0.795,0.699,0.767
MALLAT,0.815,0.852,0.942,0.829,0.860,0.968,0.856,0.963
MedicalImages,0.564,0.617,0.700,0.592,0.603,0.684,0.603,0.712
OliveOil,0.700,0.867,0.867,0.833,0.867,0.900,0.867,0.900
OSULeaf,0.814,0.851,0.938,0.806,0.781,0.917,0.864,0.959
StarLightCurves,0.952,0.975,0.980,0.959,0.979,0.981,0.979,0.981
SwedishLeaf,0.829,0.918,0.946,0.848,0.930,0.949,0.938,0.957
Symbols,0.864,0.981,0.963,0.905,0.967,0.968,0.975,0.968
Trace,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Two_Patterns,0.867,0.998,0.998,0.800,0.988,0.987,0.999,0.998
uWaveGestureLibrary_X,0.524,0.790,0.803,0.533,0.799,0.811,0.811,0.822
uWaveGestureLibrary_Y,0.435,0.707,0.713,0.423,0.736,0.746,0.747,0.755
